	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-6661	0	0	0	1	0	0	0	1	0	0	0	0
gga-miR-1593	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3064	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7476	0	1	0	0	0	0	0	0	0	0	0	0
gga-miR-1465	0	0	1	0	0	1	0	0	0	0	0	0
gga-miR-302c	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1354	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-383	318	114	369	446	621	808	302	472	115	101	393	295
gga-let-7a-2	98	31	123	215	126	263	115	110	41	26	145	116
gga-miR-1808	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1597	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-133b	0	0	0	0	0	0	0	0	1	0	0	0
gga-miR-1582	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6712	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1621	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7470	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-135a	4291	209	1395	1955	3672	2964	2657	3140	2638	23	44	972
gga-miR-133c	5	1	0	4	5	0	4	7	72	0	5	2
gga-miR-1687	0	0	1	1	0	0	0	0	0	0	0	1
gga-miR-6690	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1722	0	0	0	0	1	1	0	0	0	0	0	0
gga-miR-6673	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1629	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6543	0	0	0	1	0	0	3	2	0	0	0	0
gga-miR-10b	208	61	244	234	215	160	316	329	290	66	91	234
gga-miR-1690	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3539	0	0	0	0	0	1	0	0	0	0	0	1
gga-miR-1451	3295	1029	3784	10943	4666	5245	4365	4038	2186	1126	4179	4241
gga-miR-367	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-460b	229	79	246	140	332	179	215	174	95	76	155	123
gga-miR-34a	51	25	105	63	156	190	76	87	23	52	83	84
gga-miR-1614	0	0	0	0	0	0	0	0	0	0	0	0
